pH,Temperature,Contact time,Initial concentration,Adsorbent dosage,Adsorption capacity,Adsorbent
7,25,30,10.0,0.05,95.83333333,PAC
7,35,30,10.0,0.05,105.7539683,PAC
7,45,30,10.0,0.05,115.2777778,PAC
7,15,30,10.0,0.05,85.51587302,PAC
7,25,30,10.0,0.05,95.83333333,PAC
7,35,30,10.0,0.05,105.7539683,PAC
7,45,30,10.0,0.05,115.2777778,PAC
7,15,30,10.0,0.05,85.51587302,PAC
7,25,30,10.0,0.05,95.83333333,PAC
7,35,30,10.0,0.05,105.7539683,PAC
7,45,30,10.0,0.05,115.2777778,PAC
7,25,30,10.0,0.05,53.33333333,PAC
7,25,30,10.0,0.05,40.0,PAC
7,25,30,10.0,0.05,66.66666667,PAC
7,25,30,10.0,0.05,80.0,PAC
7,25,30,10.0,0.05,53.33333333,PAC
7,25,30,10.0,0.05,53.33333333,PAC
7,25,30,10.0,0.05,53.33333333,PAC
7,25,30,10.0,0.05,26.66666667,PAC
7,25,30,10.0,0.05,66.66666667,PAC
7,25,30,10.0,0.05,80.0,PAC
7,25,30,10.0,0.05,66.66666667,PAC
7,25,30,10.0,0.05,66.66666667,PAC
7,25,30,10.0,0.05,53.33333333,PAC
7,25,30,10.0,0.05,26.66666667,PAC
7,25,30,10.0,0.05,66.66666667,PAC
7,25,30,10.0,0.05,80.0,PAC
7,25,30,10.0,0.05,53.33333333,PAC
7,25,30,10.0,0.05,53.33333333,PAC
7,25,30,10.0,0.05,43.11111111,PAC
7,25,30,10.0,0.05,29.77777778,PAC
7,25,30,10.0,0.05,38.66666667,PAC
7,25,30,10.0,0.05,56.44444444,PAC
7,25,30,10.0,0.05,47.55555556,PAC
7,25,30,10.0,0.05,56.44444444,PAC
7,25,30,10.0,0.05,43.11111111,PAC
7,25,30,10.0,0.05,29.77777778,PAC
7,25,30,10.0,0.05,38.66666667,PAC
7,25,30,10.0,0.05,56.44444444,PAC
7,25,30,10.0,0.05,47.55555556,PAC
7,25,30,10.0,0.05,56.44444444,PAC
7,25,30,10.0,0.05,43.11111111,PAC
7,25,30,10.0,0.05,29.77777778,PAC
7,25,30,10.0,0.05,38.66666667,PAC
7,25,30,10.0,0.05,56.44444444,PAC
7,25,30,10.0,0.05,47.55555556,PAC
7,25,30,10.0,0.05,56.44444444,PAC
7,25,30,10.0,0.05,102.1825397,PAC
7,25,30,10.0,0.05,92.65873016,PAC
7,25,30,10.0,0.05,82.34126984,PAC
7,25,30,10.0,0.05,99.4047619,PAC
7,25,30,10.0,0.05,109.3253968,PAC
7,25,30,10.0,0.05,102.9761905,PAC
7,25,30,10.0,0.05,102.1825397,PAC
7,25,30,10.0,0.05,92.65873016,PAC
7,25,30,10.0,0.05,82.34126984,PAC
7,25,30,10.0,0.05,99.4047619,PAC
7,25,30,10.0,0.05,109.3253968,PAC
7,25,30,10.0,0.05,102.9761905,PAC
7,25,30,10.0,0.05,102.1825397,PAC
7,25,30,10.0,0.05,92.65873016,PAC
7,25,30,10.0,0.05,82.34126984,PAC
7,25,30,10.0,0.05,99.4047619,PAC
7,25,30,10.0,0.05,109.3253968,PAC
7,25,30,10.0,0.05,102.9761905,PAC
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,197.8062144,NaOH-activated SCW biochars
7,25,60,30.0,0.15,150.1989005,NaOH-activated SCW biochars
7,25,120,30.0,0.15,167.5159495,NaOH-activated SCW biochars
7,25,240,30.0,0.15,149.605412,NaOH-activated SCW biochars
7,25,480,30.0,0.15,195.9498078,NaOH-activated SCW biochars
7,25,720,30.0,0.15,167.515083,NaOH-activated SCW biochars
7,25,960,30.0,0.15,186.4946966,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,186.4946966,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,133.9387453,NaOH-activated SCW biochars
7,25,60,30.0,0.15,147.6588002,NaOH-activated SCW biochars
7,25,120,30.0,0.15,148.4531924,NaOH-activated SCW biochars
7,25,240,30.0,0.15,176.1731686,NaOH-activated SCW biochars
7,25,480,30.0,0.15,193.5824935,NaOH-activated SCW biochars
7,25,720,30.0,0.15,193.6168628,NaOH-activated SCW biochars
7,25,960,30.0,0.15,194.2473483,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,194.2473483,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,144.533151,NaOH-activated SCW biochars
7,25,60,30.0,0.15,160.0832954,NaOH-activated SCW biochars
7,25,120,30.0,0.15,157.48997,NaOH-activated SCW biochars
7,25,240,30.0,0.15,187.9339624,NaOH-activated SCW biochars
7,25,480,30.0,0.15,180.7380892,NaOH-activated SCW biochars
7,25,720,30.0,0.15,194.3002695,NaOH-activated SCW biochars
7,25,960,30.0,0.15,194.1076374,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,194.1076374,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,145.5371278,NaOH-activated SCW biochars
7,25,60,30.0,0.15,91.05162851,NaOH-activated SCW biochars
7,25,120,30.0,0.15,107.1628758,NaOH-activated SCW biochars
7,25,240,30.0,0.15,83.81957075,NaOH-activated SCW biochars
7,25,480,30.0,0.15,110.8222473,NaOH-activated SCW biochars
7,25,720,30.0,0.15,82.1890143,NaOH-activated SCW biochars
7,25,960,30.0,0.15,90.8839765,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,90.8839765,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,70.50262639,NaOH-activated SCW biochars
7,25,60,30.0,0.15,88.93581999,NaOH-activated SCW biochars
7,25,120,30.0,0.15,85.37041814,NaOH-activated SCW biochars
7,25,240,30.0,0.15,109.4004336,NaOH-activated SCW biochars
7,25,480,30.0,0.15,92.89581855,NaOH-activated SCW biochars
7,25,720,30.0,0.15,98.33483822,NaOH-activated SCW biochars
7,25,960,30.0,0.15,100.211,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,91.25331613,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
